"No. Paquete","Hora","IP Origen","IP Destino","Protocolo","Longitud","Puerto Origen","Puerto Destino","Flags TCP","Tipo Servicio","ID IP"
"87","19:41:09","10.0.2.15","10.0.2.3","UDP","86","54051","53","N/A","0x00","15424"
"88","19:41:09","10.0.2.3","10.0.2.15","UDP","86","53","54051","N/A","0x00","25947"
"89","19:41:10","10.0.2.15","40.89.244.232","ICMP","98","8","0","N/A","0x00","5978"
"90","19:41:10","40.89.244.232","10.0.2.15","ICMP","98","0","0","N/A","0x00","25948"
"91","19:41:10","10.0.2.15","10.0.2.3","UDP","97","52981","53","N/A","0x00","36944"
"92","19:41:10","10.0.2.3","10.0.2.15","UDP","97","53","52981","N/A","0x00","25949"
"93","19:41:10","10.0.2.15","10.0.2.3","UDP","86","52981","53","N/A","0x00","36945"
"94","19:41:10","10.0.2.3","10.0.2.15","UDP","86","53","52981","N/A","0x00","25950"
"95","19:41:11","10.0.2.15","40.89.244.232","ICMP","98","8","0","N/A","0x00","6061"
"96","19:41:11","40.89.244.232","10.0.2.15","ICMP","98","0","0","N/A","0x00","25951"
"97","19:41:11","10.0.2.15","10.0.2.3","UDP","97","35605","53","N/A","0x00","1422"
"98","19:41:11","10.0.2.3","10.0.2.15","UDP","97","53","35605","N/A","0x00","25952"
"99","19:41:11","10.0.2.15","10.0.2.3","UDP","86","35605","53","N/A","0x00","1423"
"100","19:41:11","10.0.2.3","10.0.2.15","UDP","86","53","35605","N/A","0x00","25953"
"101","19:41:12","10.0.2.15","40.89.244.232","ICMP","98","8","0","N/A","0x00","6163"
"102","19:41:12","40.89.244.232","10.0.2.15","ICMP","98","0","0","N/A","0x00","25954"
"103","19:41:12","10.0.2.15","10.0.2.3","UDP","97","41685","53","N/A","0x00","2449"
"104","19:41:12","10.0.2.3","10.0.2.15","UDP","97","53","41685","N/A","0x00","25955"
"105","19:41:12","10.0.2.15","10.0.2.3","UDP","86","41685","53","N/A","0x00","2450"
"106","19:41:12","10.0.2.3","10.0.2.15","UDP","86","53","41685","N/A","0x00","25956"
"107","19:41:13","10.0.2.15","40.89.244.232","ICMP","98","8","0","N/A","0x00","6774"
